dict_code,dict_name,iterm_value,iterm_name,sort
GO_xxr9jot9yw,部门,7,合肥市数据资源管理局,6
GO_xxr9jot9yw,部门,8,合肥市商务局,7
GO_xxr9jot9yw,部门,9,合肥市委宣传部,8
GO_xxr9jot9yw,部门,10,合肥市文化旅游局,9
GO_xxr9jot9yw,部门,11,合肥市司法局,10
GO_xxr9jot9yw,部门,12,合肥市人大常委会法工委,11
GO_xxr9jot9yw,部门,13,合肥市驻京办,12
GO_xxr9jot9yw,部门,14,合肥市驻深办,13
GO_xxr9jot9yw,部门,15,合肥市驻沪办,14
GO_xxr9jot9yw,部门,16,合肥市投资促进有限公司,15
GO_xxr9jot9yw,部门,17,合肥市人大办公室,16
GO_xxr9jot9yw,部门,18,合肥市委统战部,17
GO_xxr9jot9yw,部门,19,市属国资平台公司,18
GO_xxr9jot9yw,部门,20,合肥市总工会,19
GO_xxr9jot9yw,部门,21,合肥市委办公室,20
GO_xxr9jot9yw,部门,22,合肥市政府办公室,21
GO_xxr9jot9yw,部门,23,合肥市政协办公室,22
GO_xxr9jot9yw,部门,24,合肥市委台办,23
GO_xxr9jot9yw,部门,25,合肥市教育局,24
GO_xxr9jot9yw,部门,26,合肥市民政局,25
GO_xxr9jot9yw,部门,27,合肥市财政局,26
GO_xxr9jot9yw,部门,28,合肥市人力资源社会保障局,27
GO_xxr9jot9yw,部门,29,合肥市自然资源和规划局,28
GO_xxr9jot9yw,部门,30,合肥市交通运输局,29
GO_xxr9jot9yw,部门,31,合肥市卫生健康委,30
GO_xxr9jot9yw,部门,32,合肥市退役军人事务局,31
GO_xxr9jot9yw,部门,33,合肥市外办,32
GO_xxr9jot9yw,部门,34,合肥市国资委,33
GO_xxr9jot9yw,部门,35,合肥市市场监管局,34
GO_xxr9jot9yw,部门,36,合肥市体育局,35
GO_xxr9jot9yw,部门,37,合肥市林业园林局,36
GO_xxr9jot9yw,部门,38,合肥市医保局,37
GO_xxr9jot9yw,部门,39,合肥市住房保障和房产管理局,38
GO_xxr9jot9yw,部门,40,合肥市自贸委,39
GO_xxr9jot9yw,部门,41,合肥市合肥产业研究院,40
GO_xxr9jot9yw,部门,42,合肥市税务局,41
GO_xxr9jot9yw,部门,43,合肥市邮政管理局,42
GO_xxr9jot9yw,部门,44,合肥市团市委,43
GO_xxr9jot9yw,部门,45,合肥市侨联,44
GO_xxr9jot9yw,部门,46,合肥市工商联,45
GO_xxr9jot9yw,部门,47,合肥市城乡建设局,46
GO_xxr9jot9yw,部门,48,合肥市应急管理局,47
GO_xxr9jot9yw,部门,49,合肥市公共资源交易监管局,48
GO_xxr9jot9yw,部门,50,合肥市地方金融管理局,49
GO_xxr9jot9yw,部门,51,合肥市妇联,50
GO_xxr9jot9yw,部门,52,合肥市对外经济交流中心,51
GO_lj6yuzm722,区县,1,安巢经开区,0
GO_lj6yuzm722,区县,2,巢湖市,1
GO_lj6yuzm722,区县,3,庐江县,2
GO_lj6yuzm722,区县,4,长丰县,3
GO_lj6yuzm722,区县,5,肥西县,4
GO_lj6yuzm722,区县,6,肥东县,5
GO_lj6yuzm722,区县,7,蜀山区,6
GO_lj6yuzm722,区县,8,瑶海区,7
GO_lj6yuzm722,区县,9,包河区,8
GO_lj6yuzm722,区县,10,庐阳区,9
GO_lj6yuzm722,区县,11,新站高新区,10
GO_lj6yuzm722,区县,12,经开区,11
